"CREDIT_SCORE_ID","VER_NUM","BORROWER_TYPE","ACTIVE_IND","CREDIT_REPORT_ID","CREATED_BY","CREATE_DATE","LAST_UPDATED_BY","LAST_UPDATE_DATE","PRODUCT_SERVICE_CODE","CREDIT_SCORE","EVAL_RATING_CODE","SCORE_MSG","FACTOR_USED_IN_SCORING","CREDIT_BUREAU_CODE","SCORE_EVAL_FACTOR_NUM","MODEL_NAME_TYPE_KEY","EXCLUSION_REASON_TYPE"
"16","0","P","Y","1","SYSTEM","23-JUL-09 05.42.51.000000000 PM","SYSTEM","23-JUL-09 05.42.51.000000000 PM","","601","","","   21 --  |   18 --  |    5 --  |   13 --  |","TransUnion","","TransUnionEmpirica",""
"17","0","P","Y","1","SYSTEM","23-JUL-09 05.42.51.000000000 PM","SYSTEM","23-JUL-09 05.42.51.000000000 PM","","585","","","   25 --  |    5 --  |   10 --  |","Experian","","ExperianFairIsaac",""
"18","0","P","Y","1","SYSTEM","23-JUL-09 05.42.51.000000000 PM","SYSTEM","23-JUL-09 05.42.51.000000000 PM","","605","","","   22 --  |   13 --  |   21 --  |   10 --  |","Equifax","","EquifaxBeacon",""
"41","1","P","N","81","VISITOR","25-SEP-09 09.50.55.000000000 PM","T23497A","26-SEP-09 12.33.24.000000000 AM","","783","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"42","1","P","N","81","VISITOR","25-SEP-09 09.50.55.000000000 PM","T23497A","26-SEP-09 12.33.24.000000000 AM","","760","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"141","0","C","Y","181","T12101A","03-OCT-09 06.57.53.000000000 PM","","","","717","","","   13 --  |   10 --  |   11 --  |   14 --  |","Equifax","","EquifaxBeacon",""
"142","0","C","Y","181","T12101A","03-OCT-09 06.57.53.000000000 PM","","","","724","","","   14 --  |    1 --  |","Experian","","ExperianFairIsaac",""
"143","0","P","Y","181","T12101A","03-OCT-09 06.57.53.000000000 PM","","","","772","","","    1 --  |    8 --  |   14 --  |   10 --  |","TransUnion","","FICORiskScoreClassic04",""
"144","0","P","Y","181","T12101A","03-OCT-09 06.57.53.000000000 PM","","","","728","","","    4 --  |   10 --  |   33 --  |    5 --  |","Equifax","","EquifaxBeacon",""
"145","0","C","Y","181","T12101A","03-OCT-09 06.57.53.000000000 PM","","","","734","","","    1 --  |    8 --  |   12 --  |   14 --  |","TransUnion","","FICORiskScoreClassic04",""
"146","0","P","Y","181","T12101A","03-OCT-09 06.57.53.000000000 PM","","","","740","","","    1 --  |   10 --  |   14 --  |","Experian","","ExperianFairIsaac",""
"163","1","P","N","190","VISITOR","06-OCT-09 12.05.21.000000000 PM","T23497A","06-OCT-09 02.01.16.000000000 PM","","783","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"164","1","P","N","190","VISITOR","06-OCT-09 12.05.21.000000000 PM","T23497A","06-OCT-09 02.01.16.000000000 PM","","760","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"187","1","C","N","199","VISITOR","06-OCT-09 11.03.28.000000000 PM","T23497A","06-OCT-09 11.34.58.000000000 PM","","734","","","    1 --  |    8 --  |   12 --  |   14 --  |","TransUnion","","FICORiskScoreClassic04",""
"188","1","P","N","199","VISITOR","06-OCT-09 11.03.28.000000000 PM","T23497A","06-OCT-09 11.34.58.000000000 PM","","740","","","    1 --  |   10 --  |   14 --  |","Experian","","ExperianFairIsaac",""
"189","1","C","N","199","VISITOR","06-OCT-09 11.03.28.000000000 PM","T23497A","06-OCT-09 11.34.58.000000000 PM","","717","","","   13 --  |   10 --  |   11 --  |   14 --  |","Equifax","","EquifaxBeacon",""
"190","1","P","N","199","VISITOR","06-OCT-09 11.03.28.000000000 PM","T23497A","06-OCT-09 11.34.58.000000000 PM","","772","","","    1 --  |    8 --  |   14 --  |   10 --  |","TransUnion","","FICORiskScoreClassic04",""
"191","1","P","N","199","VISITOR","06-OCT-09 11.03.28.000000000 PM","T23497A","06-OCT-09 11.34.58.000000000 PM","","728","","","    4 --  |   10 --  |   33 --  |    5 --  |","Equifax","","EquifaxBeacon",""
"192","1","C","N","199","VISITOR","06-OCT-09 11.03.28.000000000 PM","T23497A","06-OCT-09 11.34.58.000000000 PM","","724","","","   14 --  |    1 --  |","Experian","","ExperianFairIsaac",""
"21","1","P","N","77","VISITOR","16-SEP-09 03.37.26.000000000 PM","T23497A","16-SEP-09 03.42.03.000000000 PM","","783","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"22","1","P","N","77","VISITOR","16-SEP-09 03.37.26.000000000 PM","T23497A","16-SEP-09 03.42.04.000000000 PM","","760","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
"23","1","P","N","78","VISITOR","16-SEP-09 03.46.08.000000000 PM","T23497A","16-SEP-09 04.12.50.000000000 PM","","783","","","00014 --  LENGTH OF TIME ACCOUNTS HAVE BEEN ESTABLISHED|00004 --  TOO MANY BANK OR NATIONAL REVOLVING ACCOUNTS|00005 --  TOO MANY ACCOUNTS WITH BALANCES|00032 --  LACK OF RECENT INSTALLMENT LOAN INFORMATION|","Equifax","","EquifaxBeacon",""
